UPC,52WeekGrowth
0,0.000007
1,-0.002261
2,0.000000
11,-0.031370
13,0.015151
105,-0.033659
152,0.005362
233,0.005154
433,-0.017141
487,0.000961
499,0.004384
534,0.000000
559,0.000000
598,0.001494
600,0.003272
606,-0.008522
639,0.001898
645,0.004627
660,-0.644707
671,0.000912
672,-0.000854
704,0.000000
705,0.001035
713,0.004813
714,0.000367
715,0.002287
735,0.000000
788,0.002079
796,-0.021746
995,-0.000488
1115,0.000003
1116,-0.001221
1129,-0.000514
1130,-0.000458
1131,-0.002056
1132,-0.002218
1140,0.013248
1142,-0.003507
1143,-0.000660
1144,-0.001992
1145,-0.001290
1202,-0.021777
1203,-0.008615
1204,-0.223184
1205,0.001179
1206,0.004082
1207,-0.069313
1216,0.004814
1227,0.000772
1229,-0.009229
1231,0.001895
1339,-0.010602
1500,0.170000
1501,-0.025161
1505,0.024741
1510,-5.277311
1600,-0.019307
1604,0.013749
1606,-0.114097
1610,0.058661
1640,-0.003061
1641,-0.001482
1650,-0.046194
1652,0.001671
1653,0.072877
1654,0.050631
1655,0.362690
1656,-0.073543
1657,0.014220
1658,-0.028836
1659,0.086185
1660,0.008965
1661,0.000992
1666,-0.001980
1670,0.001877
1672,-0.059362
1673,0.343920
1674,0.064764
1675,0.299988
1676,-1.116186
1677,0.051705
1678,-0.038469
1679,0.177506
1680,0.297380
1681,-0.423942
1682,-0.122594
1683,-0.034089
1684,0.001030
1685,0.494689
1686,0.417344
1687,0.256008
1688,0.229633
1689,-0.884747
1690,-0.266909
1691,0.042517
1692,0.450664
2000,-0.011165
2001,-0.060633
2003,0.003650
2004,0.001840
2005,-0.001261
2006,0.001866
2007,-0.000191
2009,0.005223
2010,0.002271
2013,-0.002552
2014,-0.000392
2015,0.021853
2017,-0.003696
2018,0.017921
2019,-0.001364
2028,-0.001812
2029,0.006102
2031,-0.004590
2033,-0.006408
2034,0.011547
2035,-0.004380
2036,-0.003836
2037,-0.005041
2039,0.000904
2040,-0.000505
2045,-0.001354
2093,-0.001450
2094,-0.001356
2095,-0.001186
2096,-0.001675
2100,0.023734
2101,0.028091
2102,-0.042055
2103,0.007531
2104,-2.987875
2105,-0.024820
2107,-1.500000
2113,-1.500000
2201,-2.071429
2202,-1.178571
2203,-1.607143
2204,-2.142857
2205,-0.890905
2206,-3.928571
2207,-1.678571
2208,-2.250000
2209,-2.714286
2210,0.049689
2211,-0.464286
2212,-0.892857
2213,-0.285714
2215,-8.928571
2293,-0.000180
3029,-0.003020
3035,-0.137894
3040,0.000726
3041,-0.010221
3066,-0.006196
3082,0.040706
3083,0.011912
3086,0.020474
3090,-0.002656
3093,-0.014494
3094,-1.440476
3107,-0.007721
3110,0.009310
3113,-0.002339
3115,0.000000
3118,0.007278
3121,-0.004792
3125,0.000170
3127,-0.018430
3132,-0.049846
3133,-0.019480
3134,0.003775
3135,-0.029956
3141,0.005882
3142,-0.282490
3144,0.000000
3148,0.000000
3149,0.000000
3151,0.114983
3180,-0.005639
3278,-0.064177
3283,0.077122
3284,-0.001571
3285,-0.001209
3286,0.002118
3294,0.000325
3302,-0.044261
3320,-0.001954
3331,-0.007093
3421,-0.080839
3423,0.006284
3435,0.001560
3437,-0.016102
3439,0.000000
3440,-0.039422
3449,0.014197
3450,-0.080499
3451,0.261734
3452,-0.129372
3468,0.000000
3487,-0.769844
3491,-0.016620
3492,-0.725092
3493,0.168926
3496,-0.070096
3565,-0.138357
3601,0.065488
3603,0.060546
3616,0.000720
3618,0.105569
3623,0.034233
3626,-0.034417
3628,-2.750000
3632,-0.011387
4011,-0.096762
4012,0.107079
4013,0.000350
4015,-0.001156
4016,0.000365
4017,0.014170
4018,0.000000
4020,0.000648
4022,-0.014416
4023,-0.053725
4027,-0.040492
4030,0.016474
4031,-0.011955
4032,-0.132394
4033,-0.079635
4034,-0.004560
4035,0.000000
4036,-0.047705
4038,-0.034824
4039,0.017986
4040,-0.029775
4042,-0.006988
4043,-0.000820
4044,-0.117620
4045,-1.735625
4046,-0.127999
4047,-0.004103
4048,-0.066482
4050,-0.135635
4051,0.011819
4052,0.000000
4053,0.123355
4055,0.017145
4056,0.015664
4060,0.000569
4061,-0.008363
4062,-0.048212
4064,-0.001439
4065,-0.000828
4066,0.023660
4067,-0.002435
4068,0.012369
4069,0.050169
4070,0.078315
4072,-0.001419
4073,0.016401
4075,-0.004897
4076,-0.002563
4077,-0.087138
4078,-0.031898
4079,0.013630
4080,0.003330
4081,0.000101
4082,-0.025220
4083,-0.001334
4084,0.041161
4087,0.111686
4088,0.000793
4089,-0.003363
4090,-0.001394
4091,0.011527
4093,0.058815
4094,0.006000
4096,-0.021945
4101,0.053766
4103,-0.047521
4128,0.000383
4129,0.006505
4130,0.024370
4131,0.049770
4133,0.000000
4134,0.000000
4135,-0.020510
4138,0.000000
4146,0.000578
4147,0.003480
4151,0.000000
4153,0.000000
4154,-0.001525
4159,-0.319222
4161,0.043037
4163,-0.264515
4165,-0.007198
4166,0.042623
4171,-0.001820
4172,-0.000178
4215,-0.027491
4218,0.189409
4224,0.001213
4225,0.002429
4239,0.004494
4240,0.001285
4258,-0.152042
4260,-0.001236
4261,0.002552
4262,0.000000
4272,0.000000
4281,-0.013014
4282,0.009362
4285,-0.003567
4286,0.020381
4288,-0.002183
4289,0.040983
4296,0.005218
4312,0.014173
4317,-0.002244
4320,0.000000
4322,0.000000
4325,-0.022538
4326,-0.011180
4327,0.010608
4329,-0.003426
4336,-0.003727
4375,-0.001525
4376,-0.000784
4378,-0.166650
4381,-0.000187
4383,-0.002469
4388,-0.007538
4390,-0.227141
4394,-0.000700
4396,0.038557
4397,0.400000
4401,-0.025343
4407,0.001010
4408,0.000114
4409,-0.037600
4412,0.001322
4413,-0.006189
4415,-0.001875
4416,-0.000126
4417,0.001382
4425,0.002401
4427,0.072616
4432,0.012938
4436,-0.014946
4440,-0.542073
4445,-0.000917
4456,0.003275
4457,-0.445161
4495,-0.006198
4496,-0.000078
4497,0.073771
4498,-0.065652
4499,-0.068645
4515,-0.000678
4524,0.000000
4535,0.000000
4538,-0.008174
4539,0.001659
4540,0.000776
4543,0.010841
4544,0.001622
4545,-0.000015
4550,0.020287
4552,-0.000201
4554,-0.000933
4555,-0.000397
4557,0.001551
4561,0.001953
4562,0.022009
4567,-0.003352
4573,0.001059
4575,0.002487
4576,-0.000375
4579,-0.004622
4583,-0.000629
4584,-0.000036
4587,-0.000812
4590,-0.108802
4593,0.014659
4596,0.005480
4598,-0.000327
4605,0.001192
4608,0.034313
4609,-0.000371
4612,0.011765
4614,-0.005724
4625,0.000453
4626,0.000490
4627,0.003005
4629,0.001479
4633,0.004360
4635,-0.017480
4636,-0.000758
4640,-0.006186
4641,-0.004844
4645,0.010122
4648,0.018266
4650,-0.001136
4655,0.000000
4662,0.003620
4663,-0.003297
4664,-0.245850
4665,0.036098
4672,0.002846
4674,0.061053
4680,0.002204
4682,-0.002036
4688,-0.001835
4689,-0.005332
