StoreID,TRANSACTION_ID,Date,TRANS_HOUR,TRANS_MINUTE,CASHIER_NUMBER,TERMINAL_NUMBER,UPC,ProductName,CATEGORY,CATEGORY_SUB,DEPT_KEY_Name,DEPT_MASTER_Name,Quantity,Price,Sales,
7024,20170302578989,2017-03-02 0:00:00,0,0,0,0,7961860140,DAILY BIG BUY BACON,BACON,BACON SLICED 1 LB,MEAT DEPT DELI TO BE DELE,Meat,797,4,1594,20170302
7024,20170303584274,2017-03-03 0:00:00,0,0,0,0,7961860140,DAILY BIG BUY BACON,BACON,BACON SLICED 1 LB,MEAT DEPT DELI TO BE DELE,Meat,44,2.328863636,100.47,20170303
7024,20170304580681,2017-03-04 0:00:00,0,0,0,0,23211700000,BEEF LEAN GROUND BEEF,GROUND BEEF,BEEF GRND REGULAR,MEAT,Meat,42,2.99,187.99,20170304
7024,20170307572319,2017-03-07 0:00:00,0,0,0,0,23745500000,DELI KIDS ICE CREAM CO,DELICATESSEN,DELI DESSERTS,DELI HOT SERVICE NFS,Deli,82,0.23,18.86,20170307
7024,20170308578677,2017-03-08 0:00:00,0,0,0,0,7222010115,SUPER 1 BREAD WHITE,BAKERY PRODUCTS,SNYDERS BREAD,GROCERY BAKERY,Bakery,37,0.98,36.26,20170308
7024,20170308573094,2017-03-08 0:00:00,0,0,0,0,23745500000,DELI KIDS ICE CREAM CO,DELICATESSEN,DELI DESSERTS,DELI HOT SERVICE NFS,Deli,87,0.23,21.39,20170308
7024,20170309563736,2017-03-09 0:00:00,0,0,0,0,2001,SINGLE DONUT,BAKERY PRODUCTS IN-STORE,CAKE DONUTS IN-STORE,BAKERY IN STORE,Bakery,236,0.68,160.48,20170309
7024,20170309579806,2017-03-09 0:00:00,0,0,0,0,7222010115,SUPER 1 BREAD WHITE,BAKERY PRODUCTS,SNYDERS BREAD,GROCERY BAKERY,Bakery,39,0.98,38.22,20170309
7024,20170312583830,2017-03-12 0:00:00,0,0,0,0,4011,BANANAS YELLOW,PRODUCE,produce,PRODUCE FS,Produce,329,0.58,423.08,20170312
7024,20170313576796,2017-03-13 0:00:00,0,0,0,0,2018,FRENCH BREAD LOAF,BAKERY SUPPLIES & PRODUCT,BAKERY BREAD BAGS,BAKERY IN STORE,Bakery,39,1.48,57.72,20170313
7024,20170313583516,2017-03-13 0:00:00,0,0,0,0,4011,BANANAS YELLOW,PRODUCE,produce,PRODUCE FS,Produce,277,0.58,365.37,20170313
7024,20170316563457,2017-03-16 0:00:00,0,0,0,0,2640000010,DG BUTTER QUARTERS,MARGARINE,BUTTER,GROCERY DAIRY,Grocery,1,4.79,4.79,20170316
7024,20170325581322,2017-03-25 0:00:00,0,0,0,0,7961860140,DAILY BIG BUY BACON,BACON,BACON SLICED 1 LB,MEAT DEPT DELI TO BE DELE,Meat,96,2.25,216,20170325
7024,20170326582802,2017-03-26 0:00:00,0,0,0,0,23211700000,BEEF LEAN GROUND BEEF,GROUND BEEF,BEEF GRND REGULAR,MEAT,Meat,40,2.99,210.68,20170326
7024,20170327578253,2017-03-27 0:00:00,0,0,0,0,23211700000,BEEF LEAN GROUND BEEF,GROUND BEEF,BEEF GRND REGULAR,MEAT,Meat,44,2.99,214.24,20170327
7024,20170331578336,2017-03-31 0:00:00,0,0,0,0,7222010115,SUPER 1 BREAD WHITE,BAKERY PRODUCTS,SNYDERS BREAD,GROCERY BAKERY,Bakery,44,0.98,43.12,20170331
7024,20170403577037,2017-04-03 0:00:00,0,0,0,0,23745500000,DELI KIDS ICE CREAM CO,DELICATESSEN,DELI DESSERTS,DELI HOT SERVICE NFS,Deli,132,0.23,30.59,20170403
7024,20170404580061,2017-04-04 0:00:00,0,0,0,0,7222010115,SUPER 1 BREAD WHITE,BAKERY PRODUCTS,SNYDERS BREAD,GROCERY BAKERY,Bakery,38,0.98,37.24,20170404
